TF,Cell
RAD51,"""CD14_Proinflam Mono"""
ZNF197,"""CD14_Proinflam Mono"""
CHD1,"""CD14_Proinflam Mono"""
NFATC1,"""CD14_Proinflam Mono"""
CD59,"""CD14_Proinflam Mono"""
ADNP,"""CD14_Proinflam Mono"""
TFDP1,"""CD14_Proinflam Mono"""
USF2,"""CD14_Proinflam Mono"""
MLLT3,"""CD14_Proinflam Mono"""
ZNF274,"""CD14_Proinflam Mono"""
XRN2,"""CD14_Proinflam Mono"""
MORC2,"""CD14_Proinflam Mono"""
SKI,"""CD14_Proinflam Mono"""
DCP1A,"""CD14_Proinflam Mono"""
WHSC1,"""CD14_Proinflam Mono"""
INO80,"""CD14_Proinflam Mono"""
SAP30,"""CD14_Proinflam Mono"""
JMJD1C,"""CD14_Proinflam Mono"""
AFF4,"""CD14_Proinflam Mono"""
EMSY,"""CD14_Proinflam Mono"""
RFX5,"""CD14_Proinflam Mono"""
TDRD3,"""CD14_Proinflam Mono"""
MAF,"""CD14_Proinflam Mono"""
NOTCH1,"""CD14_Proinflam Mono"""
FOXP1,"""CD14_Proinflam Mono"""
KMT2A,"""CD14_Proinflam Mono"""
HDAC6,"""CD14_Proinflam Mono"""
RBL2,"""CD14_Proinflam Mono"""
ZEB2,"""CD14_Proinflam Mono"""
NCOR2,"""CD14_Proinflam Mono"""
MXD3,"""CD14_Proinflam Mono"""
ZNF75A,"""CD14_Proinflam Mono"""
CPSF3L,"""CD14_Proinflam Mono"""
PAF1,"""CD14_Proinflam Mono"""
TAFII,"""CD14_Proinflam Mono"""
MED12,"""CD14_Proinflam Mono"""
RBP2,"""CD14_Proinflam Mono"""
COPS2,"""CD14_Proinflam Mono"""
CTBP2,"""CD14_Proinflam Mono"""
E2F5,"""CD14_Proinflam Mono"""
MBTD1,"""CD14_Proinflam Mono"""
OGT,"""CD14_Proinflam Mono"""
ARNT,"""CD14_Proinflam Mono"""
RBCK1,"""CD14_Proinflam Mono"""
CHAMP1,"""CD14_Proinflam Mono"""
NFYB,"""CD14_Proinflam Mono"""
HMGN1,"""CD14_Proinflam Mono"""
MYC,"""CD14_Proinflam Mono"""
ZC3H8,"""CD14_Proinflam Mono"""
BCL11B,"""CD14_Proinflam Mono"""
HEY1,"""CD14_Proinflam Mono"""
